Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_arm8,0.0192994794423811,0.00229779683558407,-0.046367138705644,0,0,0,0.0398758267789968,5.26653755491588E-05,3.14079056652577E-10,6.26539011552633E-10,6.31879640305231E-05,1.05339082458508E-05,2.42497501201281E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm8.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_arm8.STL,,主体-1/OpenArmX-1/手-2/手掌-1,right-xyz8,right-axis8,right_arm8,revolute,-0.0171,0.0234170897275935,-0.0653487797565743,0,0,0,right_arm7,1,0,0,0,0,0,0,,,,,,,,
right_hand_tcp,-4.60332888474468E-08,-1.44999805912205E-09,-1.8728147377356E-07,0,0,0,0.000143995915056229,1.2632271257894E-09,-3.53844790390022E-15,6.8156718176006E-14,8.77134105058658E-10,-3.52598490870793E-14,8.76991110155712E-10,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_hand_tcp.STL,1,1,1,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/right_hand_tcp.STL,,主体-1/OpenArmX-1/手-2/4_12_5内-1,right-xyz9,right-axis9,right_hand_tcp,fixed,0,0.151697325563073,-0.0864243839945014,0,0,0,right_arm7,0,0,0,,,,,,,,,,,,
left_arm1,0.0363539123025254,0.00192678870689683,5.60647785885493E-06,0,0,0,0.2771689234867,0.000157874770413574,3.03648849919117E-07,7.52388022155209E-09,0.000210695276621285,-1.37024024624744E-10,0.000147675080181607,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm1.STL,,主体-1/MirrorOpenArmX-2/MirrorJ1-1/Mirror加工-04-垫高-1;主体-1/MirrorOpenArmX-2/Mirror加工-固定1-2;主体-1/MirrorOpenArmX-2/Mirror加工-固定1-1;主体-1/MirrorOpenArmX-2/Mirror装配体1^MirrorOpenArmX-1/MirrorRS06-1,left-xyz1,left-axis1,left_arm1,revolute,0.105510000000001,-0.148985915842714,0.3225,0,0,0,waist_Link,1,0,0,0,0,0,0,,,,,,,,
left_arm2,-2.42058262073241E-07,0.0337460283397339,-0.0828716028476426,0,0,0,0.173551520246761,0.000101995699943918,-1.37368000857082E-07,-8.10017166224272E-09,0.000105274488568744,-6.74907264493885E-08,6.58728241848351E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm2.STL,,主体-1/MirrorOpenArmX-2/Mirror装配体1^MirrorOpenArmX-1/Mirror打印-06-垫高-1;主体-1/MirrorOpenArmX-2/Mirror装配体5^MirrorOpenArmX-1/Mirror加工-固定2-2-1;主体-1/MirrorOpenArmX-2/Mirror装配体5^MirrorOpenArmX-1/Mirror加工-固定2-1-1;主体-1/MirrorOpenArmX-2/MirrorRS00-2,left-xyz2,left-axis2,left_arm2,revolute,0.0420000000000001,-0.0399999999999999,0,0,0,0,left_arm1,0,1,0,0,0,0,0,,,,,,,,
left_arm3,0.00852608873444463,0.00053861922505033,-0.0978512823277762,0,0,0,0.162415224100578,8.84291598292499E-05,8.61688137919924E-09,-1.33099417782915E-08,8.50834261723063E-05,4.7406454862838E-06,6.01820804953683E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm3.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm3.STL,,主体-1/MirrorOpenArmX-2/Mirror打印-00-垫高-1;主体-1/MirrorOpenArmX-2/Mirror装配体2^MirrorOpenArmX-1/Mirror加工-固定3-1-1;主体-1/MirrorOpenArmX-2/Mirror装配体2^MirrorOpenArmX-1/Mirror加工-固定3-2-1;主体-1/MirrorOpenArmX-2/MirrorRS00-1,left-xyz3,left-axis3,left_arm3,revolute,0,0.0399999806952274,-0.133399999999999,0,0,0,left_arm2,0,0,1,0,0,0,0,,,,,,,,
left_arm4,0.0215359693221474,-1.0424805757997E-05,-0.0682376492169242,0,0,0,0.061262551263452,3.75688030860963E-05,3.81243890262552E-09,3.49903485211281E-08,3.6039960591548E-05,-9.45740760458013E-09,1.68085422552777E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm4.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm4.STL,,主体-1/MirrorOpenArmX-2/Mirror打印-00-垫高-4-1;主体-1/MirrorOpenArmX-2/Mirror装配体3^MirrorOpenArmX-1/Mirror加工-固定4-2-1;主体-1/MirrorOpenArmX-2/Mirror装配体3^MirrorOpenArmX-1/Mirror加工-固定4-1-1;主体-1/MirrorOpenArmX-2/Mirrorel05-1,left-xyz4,left-axis4,left_arm4,revolute,-0.0244000000000001,0,-0.115,0,0,0,left_arm3,1,0,0,0,0,0,0,,,,,,,,
left_arm5,0.00586855047107554,4.92313045802328E-07,-0.069094746424897,0,0,0,0.0503857298730898,2.49085501449316E-05,3.73272409401345E-08,-3.60393625305204E-08,1.96584072192121E-05,-5.25790232431961E-09,8.36800067244123E-06,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm5.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm5.STL,,主体-1/MirrorOpenArmX-2/Mirror打印-05-垫高-4-1;主体-1/MirrorOpenArmX-2/Mirror装配体6^MirrorOpenArmX-1/Mirror加工-固定5-1-1;主体-1/MirrorOpenArmX-2/Mirror装配体6^MirrorOpenArmX-1/Mirror加工-固定5-2-1;主体-1/MirrorOpenArmX-2/Mirror装配体4^MirrorOpenArmX-1/Mirrorel05-1,left-xyz5,left-axis5,left_arm5,revolute,0.032,0,-0.12,0,0,0,left_arm4,0,0,1,0,0,0,0,,,,,,,,
left_arm6,0.0194460540655831,-0.000440612185771433,-0.0401690345482594,0,0,0,0.0471985933288053,1.31623258724905E-05,2.30133801802256E-09,-6.77172967778744E-07,1.07319983492023E-05,-4.02510059639996E-08,8.76035610766076E-06,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm6.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm6.STL,,主体-1/MirrorOpenArmX-2/Mirror装配体4^MirrorOpenArmX-1/Mirror打印-05-垫高-4-1;主体-1/MirrorOpenArmX-2/Mirror手1-1/加工-固定6-1;主体-1/MirrorOpenArmX-2/Mirror手1-1/Mirror加工-手掌1-1;主体-1/MirrorOpenArmX-2/Mirror手1-1/MirrorLX-16A舵机_3D图纸-1,left-xyz6,left-axis6,left_arm6,revolute,-0.018,0,-0.101357392395326,0,0,0,left_arm5,1,0,0,0,0,0,0,,,,,,,,
left_arm7,-0.000647570329857211,0.0436485737771692,-0.0423877999002006,0,0,0,0.103857648360567,6.80809354277288E-05,-2.10431413861508E-08,2.6908552804957E-09,3.49502855381199E-05,4.20035454211299E-06,5.81757170570128E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm7.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm7.STL,,主体-1/MirrorOpenArmX-2/Mirror手1-1/Mirror打印-手背1-1;主体-1/MirrorOpenArmX-2/Mirror手1-1/MirrorLX-16A舵机_3D图纸-2;主体-1/MirrorOpenArmX-2/Mirror手1-1/Mirror拇指1-1,left-xyz7,left-axis7,left_arm7,fixed,0.0275,-0.0296499999999485,-0.0599903810567667,0,0,0,left_arm6,0,1,0,0,0,0,0,,,,,,,,
left_arm8,-0.0307419726442321,0.00229760411140251,-0.0463673678449107,0,0,0,0.0398761874096988,5.26658377784492E-05,-4.12277353940243E-10,-5.57805780342043E-10,6.31884245795606E-05,1.05343616373577E-05,2.4249846687143E-05,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm8.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_arm8.STL,,主体-1/MirrorOpenArmX-2/Mirror手1-1/Mirror手掌1-1,left-xyz8,left-axis8,left_arm8,revolute,0.0285425250176359,0.0254170897275924,-0.0653487797565745,0,0,0,left_arm7,1,0,0,0,0,0,0,,,,,,,,
left_hand_tcp,4.60332887919357E-08,-1.44999802442758E-09,1.87281473829071E-07,0,0,0,0.000143995915056227,1.26322712578938E-09,3.53844790738145E-15,6.81567181767392E-14,8.77134105058641E-10,3.52598490890353E-14,8.76991110155702E-10,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_hand_tcp.STL,1,1,1,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/left_hand_tcp.STL,,主体-1/MirrorOpenArmX-2/Mirror手1-1/4_12_5内-1,left-xyz9,left-axis9,left_hand_tcp,fixed,0,0.153697325563072,-0.0864243839945016,0,0,0,left_arm7,0,0,0,,,,,,,,,,,,
whel_Link1,0.0230801665498643,-0.000737881672637941,-0.00043489773681242,0,0,0,0.286092916963456,0.000925538429258908,-1.05863350945572E-09,-3.44857172102776E-09,0.000517101301627992,-3.34289565085426E-09,0.000517087078163278,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link1.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link1.STL,,底盘-2/152mm麦轮（铝合金）-右-4,whell-xyz1,whell-axis1,whel_Link1,continuous,0.201,-0.465,-0.0349999999999996,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
whel_Link2,-0.023080177161092,-0.000738344555530845,-0.000434040666072597,0,0,0,0.286092750982276,0.000925538233763684,3.66544821210536E-09,-7.64517556978914E-10,0.000517087970004006,4.28917135543356E-09,0.000517100154450984,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link2.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link2.STL,,底盘-2/152mm麦轮（铝合金）-右-3,whell-xyz2,whell-axis2,whel_Link2,continuous,-0.201,-0.465,-0.0349999999999996,0,0,0,base_link,1,0,0,,,,,,,,,,,,
whel_Link3,-0.0230801665498642,-2.3909777972092E-07,7.2074210759332E-07,0,0,0,0.286092916963456,0.000925538429258908,1.05863350935165E-09,-3.44857171936808E-09,0.000517101301627993,3.34289565125064E-09,0.000517087078163278,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link3.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link3.STL,,底盘-2/152mm麦轮（铝合金）-右-1,whell-xyz3,whell-axis3,whel_Link3,continuous,-0.201,-0.015,-0.0349999999999999,0,0,0,base_link,1,0,0,,,,,,,,,,,,
whel_Link4,0.023080177161092,-7.01980672826452E-07,-1.36328632174831E-07,0,0,0,0.286092750982275,0.000925538233763684,-3.6654482118733E-09,-7.64517558301595E-10,0.000517087970004007,-4.28917135575603E-09,0.000517100154450984,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link4.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://aider_pro.SLDASM/meshes/whel_Link4.STL,,底盘-2/152mm麦轮（铝合金）-右-2,whell-xyz4,whell-axis4,whel_Link4,continuous,0.201,-0.015,-0.0349999999999999,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
